Last Modified                  Path
2019-03-08 02:03:44 UTC+0000   \??\C:\Program Files (x86)\Google\Chrome\Application\72.0.3626.121\Installer\chrmstp.exe
2009-07-14 01:39:48 UTC+0000   \??\C:\Windows\System32\unregmp2.exe
2012-07-09 03:24:30 UTC+0000   \??\C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe
2012-07-09 04:40:10 UTC+0000   \??\C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe
2009-07-14 01:39:10 UTC+0000   \??\C:\Windows\fveupdate.exe
2010-11-20 13:24:27 UTC+0000   \??\C:\Windows\bfsvc.exe
2016-12-09 04:07:24 UTC+0000   \??\C:\Windows\System32\WSManHTTPConfig.exe
2016-12-09 02:34:32 UTC+0000   \??\C:\Windows\WinSxS\amd64_powershell-gac-tool_exe_31bf3856ad364e35_7.3.7601.16384_none_98a9bac53345fd0c\PSCustomSetupInstaller.exe
2016-12-09 01:35:11 UTC+0000   \??\C:\Windows\WinSxS\wow64_powershell-gac-tool_exe_31bf3856ad364e35_7.3.7601.16384_none_a2fe651767a6bf07\PSCustomSetupInstaller.exe
2016-12-09 04:07:24 UTC+0000   \??\C:\Windows\WinSxS\amd64_microsoft-windows-w..for-management-core_31bf3856ad364e35_7.3.7601.16384_none_aa0df5258c5d614f\WSManHTTPConfig.exe
2009-07-14 01:39:20 UTC+0000   \??\C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe
2009-07-14 01:23:46 UTC+0000   \??\C:\Windows\sysWOW64\WindowsPowerShell\v1.0\PowerShell_ISE.exe
2009-07-14 01:51:12 UTC+0000   \??\C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe
2009-07-14 01:14:24 UTC+0000   \??\C:\Windows\syswow64\Windowspowershell\v1.0\powershell.exe
2010-11-20 13:25:35 UTC+0000   \??\C:\Windows\System32\wsqmcons.exe
2009-07-14 01:39:55 UTC+0000   \??\C:\Windows\system32\wbem\WMIADAP.EXE
2009-07-14 01:41:56 UTC+0000   \??\C:\Program Files\Common Files\System\wab32.dll
2019-03-20 03:40:57 UTC+0000   \??\C:\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\msoshext.dll
2009-07-14 01:39:55 UTC+0000   \??\C:\Windows\system32\wbem\WmiApSrv.exe
2019-03-08 02:03:44 UTC+0000   \??\C:\Program Files (x86)\Google\Chrome\Application\72.0.3626.121\Installer\setup.exe
2009-07-14 01:39:59 UTC+0000   \??\C:\Windows\system32\xpsrchvw.exe
2010-11-20 12:17:56 UTC+0000   \??\C:\Program Files (x86)\Windows Media Player\wmplayer.exe
2009-07-14 01:39:53 UTC+0000   \??\C:\Program Files\Windows Mail\WinMail.exe
2009-07-14 01:14:45 UTC+0000   \??\C:\Program Files (x86)\Windows Mail\WinMail.exe
2010-11-20 13:24:44 UTC+0000   \??\C:\Windows\WinSxS\amd64_microsoft-windows-eudc-settings_31bf3856ad364e35_6.1.7601.17514_none_b84dc938eed78546\eudcsettings.exe
